Plant Name,Growth,Soil,Sunlight,Watering,Fertilization Type
Clementine,0.0,1.0,1.0,0.09091,0.5
Clove,-1.0,-0.5,1.0,1.0,0.5
Corn,1.0,1.0,1.0,0.09091,1.0
Cucumber,1.0,-0.5,1.0,1.0,0.5
Currant,0.0,-1.0,1.0,1.0,0.5
Date Palm,-1.0,-0.5,1.0,-0.81818,0.5
Dragon Fruit,1.0,-0.5,1.0,0.09091,1.0
Fig Tree,0.0,-0.5,1.0,0.09091,1.0
Jasmine (Indoor),0.0,0.0,-1.0,0.63636,-0.5
Kiwi,1.0,1.0,1.0,0.63636,0.5
Lady's Mantle,0.0,1.0,0.0,0.63636,0.5
Nectarine,-1.0,1.0,1.0,0.09091,0.5
Acanthus,0.0,1.0,0.0,0.27273,0.5
Alstroemeria,-1.0,1.0,0.0,-0.63636,1.0
Aquilegia (Columbine),0.0,1.0,0.0,-1.0,0.5
Arum Lily,0.0,0.5,0.0,0.27273,1.0
Aztec Lily,-1.0,-0.5,0.0,-1.0,0.5
Barberry,0.0,-0.5,1.0,-0.09091,1.0
Cananga (Ylang-Ylang),0.0,1.0,1.0,-0.09091,0.5
Cockscomb (Celosia),0.0,0.0,1.0,-0.63636,0.5
Cress,1.0,0.5,1.0,0.27273,1.0
Cyclamen,0.0,0.5,-1.0,0.27273,1.0
Devilï¿½s Ivy,0.0,0.0,-1.0,0.27273,0.5
Ficus Microcarpa,0.0,0.0,0.0,-0.09091,0.5
Guava,0.0,0.0,1.0,-0.09091,1.0
Ixia,0.0,0.0,1.0,-0.09091,-0.5
Kiwi Vine,1.0,0.0,1.0,-0.09091,0.5
Knautia,0.0,0.0,1.0,-0.09091,0.0
Luffa,1.0,0.0,1.0,-0.09091,1.0
Malva (Mallow),0.0,0.0,1.0,-0.09091,0.5
Protea,-1.0,0.0,1.0,-0.09091,0.5
Red-leafed Maple,-1.0,0.0,0.0,-0.09091,1.0
Rhododendron,-1.0,-1.0,0.0,-0.09091,0.5
Taro,0.0,0.5,1.0,0.27273,0.5
Violet,0.0,0.5,-1.0,0.27273,0.5
Zebra Plant,0.0,0.5,0.0,0.27273,0.5
Zephyranthes (Rain Lily),1.0,-1.0,1.0,0.27273,1.0
Buckwheat,1.0,-0.5,1.0,0.27273,-0.5
Elderflower,0.0,0.0,1.0,0.27273,0.0
Epazote,1.0,0.5,1.0,-0.09091,0.5
Fern (Maidenhair),-1.0,0.5,-1.0,-0.09091,0.5
Galangal,0.0,0.0,0.0,0.27273,1.0
Indian Cress,0.0,0.5,1.0,0.27273,-0.5
Lacandonian,0.0,1.0,0.0,0.27273,0.0
Mandevilla,1.0,1.0,1.0,-0.09091,1.0
Mayapple,-1.0,0.0,0.0,0.27273,-0.5
Nutmeg,0.0,1.0,1.0,0.27273,0.5
Orchid (Vanilla),-1.0,0.0,-1.0,-0.09091,0.0
Plumeria,0.0,1.0,1.0,-0.09091,-0.5
Quinoa,1.0,1.0,1.0,-0.09091,0.0
Redwood,-1.0,0.5,1.0,0.27273,-0.5
Rose of Sharon,0.0,0.5,1.0,0.27273,1.0
Rosemary Mint,0.0,0.0,0.0,-0.09091,0.0
Sedge,-1.0,0.0,0.0,-0.09091,0.5
Silene (Catchfly),0.0,1.0,1.0,-0.09091,0.0
Silverbell Tree,0.0,0.5,1.0,-0.09091,0.5
Soursop,1.0,0.0,1.0,0.27273,0.0
Tansy,-1.0,1.0,1.0,0.27273,0.0
Themeda (Kangaroo Grass),1.0,-0.5,1.0,0.27273,0.5
Wattle,0.0,-0.5,1.0,-0.45455,0.0
Zea Mays (Corn),1.0,1.0,1.0,1.0,-0.5
Zebra Grass,0.0,0.0,0.0,1.0,-0.5
Achillea (Yarrow),0.0,0.0,1.0,-1.0,1.0
Angelonia,0.0,0.0,1.0,1.0,0.5
Bearded Iris,-1.0,-0.5,0.0,0.81818,1.0
Black Currant,0.0,1.0,0.0,-0.45455,0.5
Blazing Star,0.0,1.0,1.0,-0.81818,0.5
Bloodroot,-1.0,0.5,0.0,0.45455,0.5
Carob Tree,-1.0,0.0,1.0,-0.81818,1.0
Chinese Lantern Plant,0.0,1.0,0.0,-0.45455,1.0
Clover,1.0,1.0,1.0,-0.63636,0.0
Coltsfoot,-1.0,0.5,0.0,-0.81818,-0.5
Daffodils,-1.0,1.0,1.0,1.0,0.5
Daisy Fleabane,0.0,1.0,0.0,-0.27273,-0.5
Dogwood Tree,-1.0,1.0,0.0,1.0,-0.5
Engelmann Spruce,-1.0,0.0,1.0,-0.45455,1.0
Fairy Lantern,0.0,1.0,0.0,0.45455,1.0
Fritillaria,-1.0,0.0,0.0,-0.81818,0.0
Galax,0.0,0.5,0.0,0.81818,0.0
Ginkgo,-1.0,1.0,1.0,-0.63636,1.0
Grape Hyacinth,1.0,1.0,1.0,1.0,0.5
Guar,1.0,-0.5,1.0,-0.81818,0.0
Gumwood Tree,0.0,1.0,0.0,-0.81818,0.5
Goldenrods,0.0,1.0,1.0,0.63636,0.5
Goldenseal,-1.0,0.5,0.0,0.63636,1.0
Heliopsis,0.0,1.0,1.0,0.63636,0.0
Henbane,0.0,1.0,1.0,-0.45455,0.5
Heracleum (Cow Parsnip),1.0,1.0,0.0,0.63636,1.0
Hops Vine,1.0,0.0,1.0,0.63636,-0.5
Indian Grass,0.0,1.0,1.0,-0.81818,-0.5
Islander (Agave),-1.0,0.0,1.0,-1.0,0.0
Ironwood,-1.0,1.0,1.0,-0.81818,0.5
Jerusalem Artichoke,1.0,1.0,1.0,-0.81818,1.0
Laelia Orchid,-1.0,0.0,-1.0,1.0,0.0
Ligustrum,1.0,1.0,0.0,-0.63636,-0.5
Lilac Tree,-1.0,1.0,0.0,-0.27273,1.0
