text	sentiment
I haven’t noticed much change since last week’s check-up.	neutral
I feel hopeful after talking with my therapist about progress.	positive
I’ve been constantly tired; I think I’m missing some nutrients.	negative
I’m grateful my immune system has held up through the season.	positive
I feel okay, though I could probably use more movement.	neutral
I’m thrilled that my running endurance improved dramatically this month.	positive
I’m stressed about waiting for the results of my blood test.	negative
My digestion has improved a lot after cutting out junk food.	positive
It’s been an average week, physically nothing major to report.	neutral
I’m happy that I’ve finally gotten back into my yoga routine.	positive
I’m frustrated that this cough still hasn’t gone away.	negative
I’m feeling peaceful after a long walk in fresh air.	positive
My sleep’s been erratic lately, and it’s affecting my focus.	negative
I’m proud of keeping my meal plan consistent all week.	positive
I’m neither better nor worse; my health feels unchanged.	neutral
I’m thankful that my therapy sessions have really started helping.	positive
I’m uneasy about this constant fatigue; it’s getting concerning.	negative
I feel relaxed and physically comfortable today, which feels rare.	positive
